ID,FIPS,Label,Address,State,Zip,Category,cat1,cat2,cat3,url,Notes,address,formatted_address,lng,lat,subcat
1,,Central Electric Power Cooperative,20 Cooperative Way,SC,29210,Central Electric,Second Tier,CBN,G&T,,,"Central Electric Power Cooperative, SC, 20 Cooperative Way, 29210","20 Cooperative Way, Columbia, SC 29210, USA",-81.1153,34.04252,
2,,New Horizon Electric Cooperative,1776 Highway 14,SC,29360,Transmission,Second Tier,CBN,Maintenance,,"Five of Central's Members are also Members of New Horizon Electric Cooperative (NHEC). NHEC maintains a portion of Central's transmission lines. Central paid NHEC $1,590,760 and $2,138,796 in 2017 and 2016, respectively. In 2017, NHEC paid Central $48,000 for management services.","New Horizon Electric Cooperative, SC, 1776 Highway 14, 29360","1776 SC-14, Laurens, SC 29360, USA",-82.051,34.53096,
3,,Alliance for Cooperatives Energy,1331 Sunday Drive,NC,27607,Services,Second Tier,CBN,Marketing,,"In 2017 Central became a member of the Alliance for Cooperatives Energy Services Power Marketing, LLC (ACES). ACES is a nationwide energy management company. At the end of five years, Central can exit the organization and receive a refund equal to its pro rata share of ACES equity. Central is committed to purchase a minimum level of services from ACES starting at $195,000 annually and increasing 2% annually for a period of five years. Any services above these minimums will be paid at ACES actual cost. Central paid ACES $245,715 in 2017.","Alliance for Cooperatives Energy, NC, 1331 Sunday Drive, 27607","1331 Sunday Dr, Raleigh, NC 27607, USA",-78.7296,35.79718,
4,,Cooperative Electric Energy Utility Supply,101 Enterprise Parkway,SC,29171,Construction,Second Tier,CBN,Construction,,"Central is a member of the Cooperative Electric Energy Utility Supply, Inc. (CEE-US).CEE-US is organized to provide member cooperatives with the ability to purchase utility construction and repair materials and supplies on a combined basis. Central purchased $3,612,141 and $2,505,960 in CEE-US' fiscal years ending September 30, 2017 and 2016, respectively. Central's patronage capital in CEE-US represents approximately 2.5% of total CEE-US patronage capital.","Cooperative Electric Energy Utility Supply, SC, 101 Enterprise Parkway, 29171","101 Enterprise Pkwy, West Columbia, SC 29170, USA",-81.1452,33.95791,
5,,KW Savings Co.,808 Knox Abbott Drive,SC,29033,Finance,Second Tier,CBN,Finance,,"Central and its Members created KW Savings Co. (KWS) to facilitate on-billing financing of energy efficiency home improvements for Members. Central received a $740,000 Rural Economic Development Loan & Grant (REDLG) loan from the United States Department of Agriculture (USDA), which was loaned to KWS for low interest loans on energy efficiency projects for distribution member households. KWS returns this money to Central at approximately the same time the loans are repaid by the distribution members. As of December 31, 2017 and 2016, $339,167 and $431,667 was outstanding, respectively. In 2017 and 2016, Central provided KWS with $29,877 and $3,823, respectively, to cover program administrative costs. In 2017, KWS paid Central $5,000 for accounting services.","KW Savings Co., SC, 808 Knox Abbott Drive, 29033","808 Knox Abbott Dr, West Columbia, SC 29033, USA",-81.0624,33.98258,
6,,"The Electric Cooperatives of South Carolina, Inc.",808 Knox Abbott Drive,SC,29033,Statewide,Second Tier,CBN,Statewide,,,"The Electric Cooperatives of South Carolina, Inc., SC, 808 Knox Abbott Drive, 29033","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.0624,33.98258,
7,,Aiken Electric Cooperative,2790 Wagener Road,SC,29802,Distribution,First Tier,Distribution,Distribution,,,"Aiken Electric Cooperative, SC, 2790 Wagener Road, 29802","2790 Wagener Rd, Aiken, SC 29801, USA",-81.6548,33.54875,
8,,Berkeley Electric Cooperative,414 Highway 52 North,SC,29461,Distribution,First Tier,Distribution,Distribution,,,"Berkeley Electric Cooperative, SC, 414 Highway 52 North, 29461","551 Rembert C Dennis Blvd, Moncks Corner, SC 29461, USA",-79.9836,33.20253,
9,,Black River Electric Cooperative,"1121 North Pike Road, West",SC,29151,Distribution,First Tier,Distribution,Distribution,,,"Black River Electric Cooperative, SC, 1121 North Pike Road, West, 29151","1121 N Pike W, Sumter, SC 29153, USA",-80.3743,33.95774,
10,,Blue Ridge Electric Cooperative,734 West Main Street,SC,29671,Distribution,First Tier,Distribution,Distribution,,,"Blue Ridge Electric Cooperative, SC, 734 West Main Street, 29671","734 W Main St, Pickens, SC 29671, USA",-82.7191,34.88153,
11,,Broad River Electric Cooperative,811 Hamrick Street,SC,29342,Distribution,First Tier,Distribution,Distribution,,,"Broad River Electric Cooperative, SC, 811 Hamrick Street, 29342","811 Hamrick Street, Gaffney, SC 29340, USA",-81.6869,35.05099,
12,,Edisto Electric Cooperative,896 Calhoun Street,SC,29003,Distribution,First Tier,Distribution,Distribution,,,"Edisto Electric Cooperative, SC, 896 Calhoun Street, 29003","896 Calhoun St, Bamberg, SC 29003, USA",-81.0428,33.28553,
13,,Laurens Electric Cooperative,2254 Highway 14,SC,29360,Distribution,First Tier,Distribution,Distribution,,,"Laurens Electric Cooperative, SC, 2254 Highway 14, 29360","2254 SC-14, Laurens, SC 29360, USA",-82.0562,34.53563,
14,,Marlboro Electric Cooperative,254 Highway 15-401 Bypass East,SC,29512,Distribution,First Tier,Distribution,Distribution,,,"Marlboro Electric Cooperative, SC, 254 Highway 15-401 Bypass East, 29512","676 SC-9, Bennettsville, SC 29512, USA",-79.6417,34.59634,
15,,Palmetto Electric Cooperative,4036 Grays Highway,SC,29936,Distribution,First Tier,Distribution,Distribution,,,"Palmetto Electric Cooperative, SC, 4036 Grays Highway, 29936","4360, 4063 Grays Hwy, Ridgeland, SC 29936, United States",-81.0102,32.52692,
16,,Tri-County Electric Cooperative,6473 Old State Road,SC,29135,Distribution,First Tier,Distribution,Distribution,,,"Tri-County Electric Cooperative, SC, 6473 Old State Road, 29135","6473 Old State Rd, St Matthews, SC 29135, USA",-80.7747,33.6308,
17,,Fairfield Electric Cooperative,701 Blythewood Road,SC,29016,Distribution,First Tier,Distribution,Distribution,,,"Fairfield Electric Cooperative, SC, 701 Blythewood Road, 29016","701 Blythewood Rd, Blythewood, SC 29016, USA",-81.002,34.20942,
18,,Little River Electric Cooperative,300 Cambridge Street,SC,29620,Distribution,First Tier,Distribution,Distribution,,,"Little River Electric Cooperative, SC, 300 Cambridge Street, 29620","300 Cambridge St, Abbeville, SC 29620, USA",-82.3734,34.18313,
19,,Mid-Carolina Electric Cooperative,254 Longs Pond Road,SC,29071,Distribution,First Tier,Distribution,Distribution,,,"Mid-Carolina Electric Cooperative, SC, 254 Longs Pond Road, 29071","254 Longs Pond Rd, Lexington, SC 29072, USA",-81.2924,33.93005,
20,,Pee Dee Electric Cooperative,1355 East McIver Road,SC,29540,Distribution,First Tier,Distribution,Distribution,,,"Pee Dee Electric Cooperative, SC, 1355 East McIver Road, 29540","1355 E McIver Rd, Darlington, SC 29540, USA",-79.7891,34.25703,
21,,York Electric Cooperative,1385 East Alexander Love Highway,SC,29745,Distribution,First Tier,Distribution,Distribution,,,"York Electric Cooperative, SC, 1385 East Alexander Love Highway, 29745","1385 Alexander Love Hwy, York, SC 29745, USA",-81.2058,34.98885,
22,,Coastal Electric Cooperative,2269 Jefferies Highway,SC,29488,Distribution,First Tier,Distribution,Distribution,,,"Coastal Electric Cooperative, SC, 2269 Jefferies Highway, 29488","2269 Jefferies Hwy, Walterboro, SC 29488, USA",-80.6608,32.93324,
23,,Horry Electric Cooperative,2774 Cultra Road,SC,29528,Distribution,First Tier,Distribution,Distribution,,,"Horry Electric Cooperative, SC, 2774 Cultra Road, 29528","2774 Cultra Rd, Conway, SC 29526, USA",-79.0796,33.87254,
24,,Lynches River Electric Cooperative,707 South Arant Street,SC,29728,Distribution,First Tier,Distribution,Distribution,,,"Lynches River Electric Cooperative, SC, 707 South Arant Street, 29728","707 S Arant St, Pageland, SC 29728, USA",-80.402,34.76022,
25,,Newberry Electric Cooperative,882 Wilson Road,SC,29108,Distribution,First Tier,Distribution,Distribution,,,"Newberry Electric Cooperative, SC, 882 Wilson Road, 29108","882 Wilson Rd, Newberry, SC 29108, USA",-81.5926,34.27812,
26,,Santee Electric Cooperative,424 Sumter Highway,SC,29556,Distribution,First Tier,Distribution,Distribution,,,"Santee Electric Cooperative, SC, 424 Sumter Highway, 29556","424 Sumter Hwy, Kingstree, SC 29556, USA",-79.8528,33.68851,
