Source,Target,Type,Label,
32,1,,Distribution,
32,2,,Distribution,
32,3,,Distribution,
32,4,,Distribution,
32,5,,Distribution,
32,6,,Distribution,
32,7,,Distribution,
32,8,,Distribution,
32,9,,Distribution,
32,10,,Distribution,
32,11,,Distribution,
32,12,,Distribution,
32,13,,Distribution,
32,14,,Distribution,
32,15,,Distribution,
32,16,,Distribution,
32,17,,Distribution,
32,18,,Finance,
32,19,,Association,
32,20,,Finance,
32,21,,Technology,
32,22,,Association,
32,23,,Finance,
32,24,,State Association,
32,25,,Association,
32,26,,Association,
32,27,,Research,
32,28,,Business,
32,29,,Business,
32,30,,Manufacturing,
32,31,,Association,
32,33,,State Association,
32,34,,Sales,
32,35,,Manufacturing,
31,33,,Manufacturing,
31,1,,Touchstone,
31,3,,Touchstone,
31,6,,Touchstone,
31,9,,Touchstone,
31,10,,Touchstone,
31,11,,Touchstone,
31,12,,Touchstone,
31,15,,Touchstone,
31,16,,Touchstone,
31,17,,Touchstone,
1,36,,Development,
55,1,,Development,
37,1,,Development,
37,2,,Development,
32,38,,Development,
2,36,,Development,
2,39,,Development,
40,2,,Development,coop is a sponsor
37,3,,Development,
3,36,,Development,
