source,target
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,35
1,36
1,38
1,42
1,36
2,10
2,11
2,36
2,39
3,1
3,7
3,36
4,1
4,14
4,17
5,1
5,7
5,22
6,1
6,7
6,8
6,9
6,10
6,11
6,22
6,12
6,17
6,23
6,13
6,18
6,24
6,14
6,19
6,25
6,15
6,20
6,26
6,16
6,21
6,2
6,23
6,7
6,57
6,35
6,36
7,35
7,36
7,38
7,42
7,44
7,66
7,57
8,35
8,36
8,38
8,44
8,66
8,55
8,57
9,35
9,36
9,38
9,43
9,44
9,66
9,57
10,35
10,36
10,38
10,44
10,58
10,59
10,60
10,61
10,62
10,66
10,57
11,44
11,35
11,36
11,43
11,38
11,66
11,57
12,44
12,36
12,35
12,38
12,66
12,57
13,35
13,36
13,38
13,44
13,66
13,57
14,44
14,35
14,36
14,38
14,66
14,57
15,44
15,38
15,35
15,36
15,51
15,55
15,66
15,57
16,44
16,35
16,36
16,38
16,43
16,55
16,66
16,57
17,44
17,35
17,38
17,44
17,36
17,43
17,55
17,66
17,57
18,44
18,35
18,55
18,38
18,36
18,44
18,57
18,66
19,44
19,38
19,35
19,36
19,55
19,57
19,66
20,44
20,55
20,57
20,36
20,38
20,35
20,44
20,66
21,44
21,43
21,55
21,35
21,36
21,38
21,66
21,57
22,44
22,35
22,36
22,38
22,66
22,57
23,44
23,55
23,35
23,38
23,57
23,36
23,66
24,44
24,66
24,44
24,43
24,55
24,57
24,25
24,36
24,38
25,44
25,66
25,38
25,57
25,35
25,36
26,44
26,35
26,36
26,38
26,66
26,57
27,75
27,76
27,77
27,78
27,79
27,80
27,82
27,83
27,84
27,85
27,87
27,88
27,89
27,90
27,91
27,92
27,93
27,94
27,95
27,96
27,97
27,98
27,99
27,100
27,101
27,102
27,103
27,104
27,105
27,106
27,107
27,108
27,109
27,110
27,111
27,112
27,124
27,1
27,6
27,7
27,8
27,9
27,10
27,11
27,12
27,13
27,14
27,15
27,16
27,17
27,18
27,19
27,20
27,21
27,22
27,23
27,24
27,25
27,26
28,89
28,1
28,22
29,1
29,22
30,74
30,75
30,76
30,77
30,78
30,79
30,82
30,83
30,84
30,85
30,86
30,87
30,88
30,89
30,90
30,91
30,92
30,93
30,94
30,95
30,96
30,97
30,98
30,99
30,100
30,101
30,102
30,103
30,104
30,105
30,106
30,107
30,108
30,109
30,110
30,111
30,112
30,1
30,2
30,3
30,4
30,5
30,6
30,7
30,8
30,9
30,10
30,13
30,15
30,16
30,19
30,20
30,21
30,23
30,24
30,25
30,26
30,11
30,12
30,14
30,17
30,18
30,22
31,1
31,33
31,1
31,3
31,6
31,9
31,10
31,11
31,12
31,15
31,16
31,17
32,105
32,1
32,14
32,17
32,1
32,2
32,3
32,4
32,5
32,6
32,7
32,8
32,9
32,10
32,11
32,12
32,13
32,14
32,15
32,16
32,17
32,18
32,19
32,20
32,21
32,22
32,23
32,24
32,25
32,26
32,27
32,28
32,29
32,30
32,31
32,33
32,34
32,35
32,38
33,1
33,11
33,19
33,7
33,8
33,9
33,10
33,22
33,12
33,17
33,23
33,13
33,18
33,24
33,14
33,25
33,15
33,20
33,26
33,16
33,21
33,2
33,23
33,21
33,24
34,1
37,1
37,7
37,8
37,14
37,15
37,17
37,19
37,21
37,24
37,25
37,1
37,2
37,3
39,1
39,8
39,15
39,16
39,17
39,18
39,19
39,20
39,24
40,1
40,7
40,41
40,2
41,1
41,7
45,14
45,15
45,17
46,14
46,24
47,14
47,17
47,17
47,21
47,24
48,14
48,17
48,21
48,24
49,14
50,15
52,14
52,15
52,16
52,17
52,17
52,44
53,16
54,16
55,1
56,17
63,21
64,21
65,23
67,25
69,26
71,26
72,26
73,26
74,75
74,76
74,77
74,79
74,80
74,82
74,83
74,84
74,85
74,86
74,87
74,88
74,89
74,90
74,91
74,92
74,93
74,94
74,95
74,96
74,97
74,98
74,99
74,100
74,101
74,102
74,103
74,104
74,105
74,106
74,107
74,108
74,109
74,110
74,111
74,112
75,38
75,36
75,113
75,114
75,115
75,116
75,123
76,38
76,36
76,113
76,115
76,116
76,122
76,123
76,125
77,38
77,36
77,113
77,115
77,116
77,123
77,124
77,125
78,38
78,36
78,116
78,126
78,127
78,128
78,183
78,184
79,38
79,36
79,113
79,116
79,152
80,38
80,36
80,113
80,123
80,124
81,36
81,115
81,116
82,38
82,36
82,113
82,116
82,123
83,38
83,36
83,113
83,116
83,152
84,38
84,116
85,36
85,113
85,116
85,152
86,38
86,36
86,113
86,115
