"ID","Label","address","State","zipcode","cat1","cat2","cat3","url","Notes","lon","lat","formatted_address","lng"
"1","Central Electric Power Cooperative","20 Cooperative Way, Columbia, SC 29210, USA, Central Electric Power Cooperative, SC, 29210","SC","29210","Second Tier","CBN","G&T","","","-81.1153",34.0418704,"20 Cooperative Way, Columbia, SC 29210, USA",-81.11465559999999
"2","New Horizon Electric Cooperative","1776 SC-14, Laurens, SC 29360, USA, New Horizon Electric Cooperative, SC, 29360","SC","29360","Second Tier","CBN","G&ffT","","Five of Central's Members are also Members of New Horizon Electric Cooperative (NHEC). NHEC maintains a portion of Central's transmission lines. Central paid NHEC $1,590,760 and $2,138,796 in 2017 and 2016, respectively. In 2017, NHEC paid Central $48,000 for management services.","-82.051",34.5309567,"1776 SC-14, Laurens, SC 29360, USA",-82.0510034
"3","Alliance for Cooperatives Energy","1331 Sunday Dr, Raleigh, NC 27607, USA, Alliance for Cooperatives Energy, NC, 27607","NC","27607","Second Tier","CBN","Marketing","","In 2017 Central became a member of the Alliance for Cooperatives Energy Services Power Marketing, LLC (ACES). ACES is a nationwide energy management company. At the end of five years, Central can exit the organization and receive a refund equal to its pro rata share of ACES equity. Central is committed to purchase a minimum level of services from ACES starting at $195,000 annually and increasing 2% annually for a period of five years. Any services above these minimums will be paid at ACES actual cost. Central paid ACES $245,715 in 2017.","-78.7296",35.7972394,"1331 Sunday Dr, Raleigh, NC 27607, USA",-78.7296203
"4","Cooperative Electric Energy Utility Supply","101 Enterprise Pkwy, West Columbia, SC 29170, USA, Cooperative Electric Energy Utility Supply, SC, 29171","SC","29171","Second Tier","CBN","Construction","","Central is a member of the Cooperative Electric Energy Utility Supply, Inc. (CEE-US).CEE-US is organized to provide member cooperatives with the ability to purchase utility construction and repair materials and supplies on a combined basis. Central purchased $3,612,141 and $2,505,960 in CEE-US' fiscal years ending September 30, 2017 and 2016, respectively. Central's patronage capital in CEE-US represents approximately 2.5% of total CEE-US patronage capital.","-81.1452",33.957913,"101 Enterprise Pkwy, West Columbia, SC 29170, USA",-81.145242
"5","KW Savings Co.","808 Knox Abbott Dr, West Columbia, SC 29033, USA, KW Savings Co., SC, 29033","SC","29033","Second Tier","CBN","Finance","","Central and its Members created KW Savings Co. (KWS) to facilitate on-billing financing of energy efficiency home improvements for Members. Central received a $740,000 Rural Economic Development Loan & Grant (REDLG) loan from the United States Department of Agriculture (USDA), which was loaned to KWS for low interest loans on energy efficiency projects for distribution member households. KWS returns this money to Central at approximately the same time the loans are repaid by the distribution members. As of December 31, 2017 and 2016, $339,167 and $431,667 was outstanding, respectively. In 2017 and 2016, Central provided KWS with $29,877 and $3,823, respectively, to cover program administrative costs. In 2017, KWS paid Central $5,000 for accounting services.","-81.0624",33.9825755,"808 Knox Abbott Dr, West Columbia, SC 29033, USA",-81.06243479999999
"6","The Electric Cooperatives of South Carolina, Inc.","808 Knox Abbott Dr, Cayce, SC 29033, USA, The Electric Cooperatives of South Carolina, Inc., SC, 29033","SC","29033","Second Tier","CBN","Statewide","","","-81.0624",33.9824191,"808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.06239950000001
"7","Aiken Electric Cooperative","2790 Wagener Rd, Aiken, SC 29801, USA, Aiken Electric Cooperative, SC, 29802","SC","29802","First Tier","Distribution","Distribution","","","-81.6548",33.548752,"2790 Wagener Rd, Aiken, SC 29801, USA",-81.654842
"8","Berkeley Electric Cooperative","551 Rembert C Dennis Blvd, Moncks Corner, SC 29461, USA, Berkeley Electric Cooperative, SC, 29461","SC","29461","First Tier","Distribution","Distribution","","","-79.9836",33.2025327,"551 Rembert C Dennis Blvd, Moncks Corner, SC 29461, USA",-79.98363909999999
"9","Black River Electric Cooperative","1121 N Pike W, Sumter, SC 29153, USA, Black River Electric Cooperative, SC, 29151","SC","29151","First Tier","Distribution","Distribution","","","-80.3743",33.957741,"1121 N Pike W, Sumter, SC 29153, USA",-80.374324
"10","Blue Ridge Electric Cooperative","734 W Main St, Pickens, SC 29671, USA, Blue Ridge Electric Cooperative, SC, 29671","SC","29671","First Tier","Distribution","Distribution","","","-82.7191",34.881529,"734 W Main St, Pickens, SC 29671, USA",-82.7190509
