source,target
1,3
1,4
1,5
1,6
1,7
1,8
1,10
1,11
1,12
1,13
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,55
2,3
2,4
2,5
2,7
2,8
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
2,40
3,41
3,42
3,43
3,44
3,45
3,46
3,53
4,41
4,42
4,43
4,45
4,46
4,52
4,53
4,56
5,41
5,42
5,43
5,45
5,46
5,53
5,55
5,56
6,41
6,42
6,46
6,57
6,58
6,59
6,117
6,118
7,41
7,42
7,43
7,46
7,84
8,41
8,42
8,43
8,53
8,55
9,42
9,45
9,46
10,41
10,42
10,43
10,46
10,53
11,41
11,42
11,43
11,46
11,84
12,41
12,46
13,42
13,43
13,46
13,84
14,41
14,42
14,43
14,45
14,46
14,52
14,53
15,41
15,42
15,43
15,44
15,45
15,46
15,53
15,83
15,102
15,109
16,41
16,42
16,43
16,46
16,53
16,55
16,84
17,52
17,55
17,53
17,84
18,42
18,43
18,52
18,53
19,41
19,42
19,43
19,46
19,52
19,53
19,56
19,91
19,92
20,41
20,42
20,43
20,45
20,46
20,52
20,58
20,104
21,41
21,42
21,43
21,46
21,48
21,52
21,56
21,56
22,46
23,41
23,42
23,43
23,46
23,58
23,84
23,104
23,109
24,41
24,42
24,46
24,53
25,41
25,46
25,56
26,46
26,53
26,55
26,104
27,41
27,42
27,43
27,46
27,53
27,103
27,104
27,109
28,41
28,42
28,43
28,46
28,55
28,53
28,104
29,42
29,43
29,46
29,53
29,55
29,104
29,109
30,41
30,42
30,43
30,46
30,104
31,41
31,42
31,43
31,46
31,53
31,84
31,104
31,115
32,41
32,42
32,43
32,53
32,55
32,57
32,105
33,42
33,43
33,53
33,53
33,55
33,57
33,58
33,84
33,103
33,104
33,109
33,115
34,41
34,42
34,43
34,53
34,55
34,56
34,84
34,109
35,41
35,41
35,42
35,43
35,46
35,56
35,57
35,57
35,58
35,53
35,103
35,109
36,41
36,46
36,53
36,53
36,103
36,104
37,41
37,42
37,43
37,46
37,55
37,53
37,115
38,41
38,42
38,43
38,46
38,55
38,103
38,104
39,41
39,42
39,43
39,46
39,53
39,58
39,84
39,103
39,104
39,109
39,115
40,41
40,42
40,43
40,46
40,55
40,58
40,103
40,109
40,115
40,116
47,3
48,3
49,3
50,3
51,3
51,4
51,5
51,10
51,11
51,17
51,20
51,21
51,25
54,2
54,3
54,4
54,5
54,6
54,7
54,10
54,11
54,12
54,13
54,14
54,15
54,16
54,17
54,18
54,19
54,20
54,21
54,22
54,23
54,24
54,25
54,26
54,27
54,28
54,29
54,30
54,31
54,32
54,33
54,34
54,35
54,36
54,37
54,38
54,39
54,40
56,4
56,5
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,10
79,10
80,10
81,11
85,17
86,17
87,17
88,17
89,17
90,17
93,23
93,26
93,27
93,29
93,30
93,31
93,33
93,33
93,34
93,35
93,36
93,37
93,38
93,39
93,40
94,23
95,25
96,25
97,25
98,25
99,25
100,25
101,25
102,11
102,25
102,28
104,30
105,30
106,30
107,30
108,30
110,33
111,38
112,38
113,38
114,16
114,38
119,6
