,natl_id,Label,address,State,zipcode,cat1,cat2,cat3,url,Notes,lon,lat
1,1,Central Electric Power Cooperative,"20 Cooperative Way, Columbia, SC 29210, USA",SC,29210,Second Tier,CBN,G&T,,,-81.1153,34.04252
2,2,New Horizon Electric Cooperative,"1776 SC-14, Laurens, SC 29360, USA",SC,29360,Second Tier,CBN,G&ffT,,"Five of Central's Members are also Members of New Horizon Electric Cooperative (NHEC). NHEC maintains a portion of Central's transmission lines. Central paid NHEC $1,590,760 and $2,138,796 in 2017 and 2016, respectively. In 2017, NHEC paid Central $48,000 for management services.",-82.051,34.53096
3,3,Alliance for Cooperatives Energy,"1331 Sunday Dr, Raleigh, NC 27607, USA",NC,27607,Second Tier,CBN,Marketing,,"In 2017 Central became a member of the Alliance for Cooperatives Energy Services Power Marketing, LLC (ACES). ACES is a nationwide energy management company. At the end of five years, Central can exit the organization and receive a refund equal to its pro rata share of ACES equity. Central is committed to purchase a minimum level of services from ACES starting at $195,000 annually and increasing 2% annually for a period of five years. Any services above these minimums will be paid at ACES actual cost. Central paid ACES $245,715 in 2017.",-78.7296,35.79718
4,4,Cooperative Electric Energy Utility Supply,"101 Enterprise Pkwy, West Columbia, SC 29170, USA",SC,29171,Second Tier,CBN,Construction,,"Central is a member of the Cooperative Electric Energy Utility Supply, Inc. (CEE-US).CEE-US is organized to provide member cooperatives with the ability to purchase utility construction and repair materials and supplies on a combined basis. Central purchased $3,612,141 and $2,505,960 in CEE-US' fiscal years ending September 30, 2017 and 2016, respectively. Central's patronage capital in CEE-US represents approximately 2.5% of total CEE-US patronage capital.",-81.1452,33.95791
5,5,KW Savings Co.,"808 Knox Abbott Dr, West Columbia, SC 29033, USA",SC,29033,Second Tier,CBN,Finance,,"Central and its Members created KW Savings Co. (KWS) to facilitate on-billing financing of energy efficiency home improvements for Members. Central received a $740,000 Rural Economic Development Loan & Grant (REDLG) loan from the United States Department of Agriculture (USDA), which was loaned to KWS for low interest loans on energy efficiency projects for distribution member households. KWS returns this money to Central at approximately the same time the loans are repaid by the distribution members. As of December 31, 2017 and 2016, $339,167 and $431,667 was outstanding, respectively. In 2017 and 2016, Central provided KWS with $29,877 and $3,823, respectively, to cover program administrative costs. In 2017, KWS paid Central $5,000 for accounting services.",-81.0624,33.98258
6,6,"The Electric Cooperatives of South Carolina, Inc.","808 Knox Abbott Dr, Cayce, SC 29033, USA",SC,29033,Second Tier,CBN,Statewide,,,-81.0624,33.98258
7,7,Aiken Electric Cooperative,"2790 Wagener Rd, Aiken, SC 29801, USA",SC,29802,First Tier,Distribution,Distribution,,,-81.6548,33.54875
8,8,Berkeley Electric Cooperative,"551 Rembert C Dennis Blvd, Moncks Corner, SC 29461, USA",SC,29461,First Tier,Distribution,Distribution,,,-79.9836,33.20253
9,9,Black River Electric Cooperative,"1121 N Pike W, Sumter, SC 29153, USA",SC,29151,First Tier,Distribution,Distribution,,,-80.3743,33.95774
10,10,Blue Ridge Electric Cooperative,"734 W Main St, Pickens, SC 29671, USA",SC,29671,First Tier,Distribution,Distribution,,,-82.7191,34.88153
11,11,Broad River Electric Cooperative,"811 Hamrick Street, Gaffney, SC 29340, USA",SC,29342,First Tier,Distribution,Distribution,,,-81.6869,35.05099
12,12,Edisto Electric Cooperative,"896 Calhoun St, Bamberg, SC 29003, USA",SC,29003,First Tier,Distribution,Distribution,,,-81.0428,33.28553
13,13,Laurens Electric Cooperative,"2254 SC-14, Laurens, SC 29360, USA",SC,29360,First Tier,Distribution,Distribution,,,-82.0562,34.53563
14,14,Marlboro Electric Cooperative,"676 SC-9, Bennettsville, SC 29512, USA",SC,29512,First Tier,Distribution,Distribution,,,-79.6417,34.59634
15,15,Palmetto Electric Cooperative,"4360, 4063 Grays Hwy, Ridgeland, SC 29936, USA",SC,29936,First Tier,Distribution,Distribution,,,-81.0102,32.52692
16,16,Tri-County Electric Cooperative,"6473 Old State Rd, St Matthews, SC 29135, USA",SC,29135,First Tier,Distribution,Distribution,,,-80.7747,33.6308
17,17,Fairfield Electric Cooperative,"701 Blythewood Rd, Blythewood, SC 29016, USA",SC,29016,First Tier,Distribution,Distribution,,,-81.002,34.20942
18,18,Little River Electric Cooperative,"300 Cambridge St, Abbeville, SC 29620, USA",SC,29620,First Tier,Distribution,Distribution,,,-82.3734,34.18313
19,19,Mid-Carolina Electric Cooperative,"254 Longs Pond Rd, Lexington, SC 29072, USA",SC,29071,First Tier,Distribution,Distribution,,,-81.2924,33.93005
20,20,Pee Dee Electric Cooperative,"1355 E McIver Rd, Darlington, SC 29540, USA",SC,29540,First Tier,Distribution,Distribution,,,-79.7891,34.25703
21,21,York Electric Cooperative,"1385 Alexander Love Hwy, York, SC 29745, USA",SC,29745,First Tier,Distribution,Distribution,,,-81.2058,34.98885
22,22,Coastal Electric Cooperative,"2269 Jefferies Hwy, Walterboro, SC 29488, USA",SC,29488,First Tier,Distribution,Distribution,,,-80.6608,32.93324
23,23,Horry Electric Cooperative,"2774 Cultra Rd, Conway, SC 29526, USA",SC,29528,First Tier,Distribution,Distribution,,,-79.0796,33.87254
24,24,Lynches River Electric Cooperative,"707 S Arant St, Pageland, SC 29728, USA",SC,29728,First Tier,Distribution,Distribution,,,-80.402,34.76022
