Source,Target,Type,ID,Label,Extra,Interval,Weight
1,7,directed,,Distribution,,,
1,8,directed,,Distribution,,,
1,9,directed,,Distribution,,,
1,10,directed,,Distribution,,,
1,11,directed,,Distribution,,,
1,12,directed,,Distribution,,,
1,13,directed,,Distribution,,,
1,14,directed,,Distribution,,,
1,15,directed,,Distribution,,,
1,16,directed,,Distribution,,,
1,17,directed,,Distribution,,,
1,18,directed,,Distribution,,,
1,19,directed,,Distribution,,,
1,20,directed,,Distribution,,,
1,21,directed,,Distribution,,,
1,22,directed,,Distribution,,,
1,23,directed,,Distribution,,,
1,24,directed,,Distribution,,,
1,25,directed,,Distribution,,,
1,26,directed,,Distribution,,,
1,35,directed,,Development,Community Development,,
1,36,directed,,Development,Youth Development,,
1,38,directed,,Development,Community Development,,
1,42,directed,,Development,Community Development,,
2,10,directed,,Transmission,,,
2,11,directed,,Services ,,,
3,1,directed,,Management,,,
3,7,directed,,Management,,,
4,1,directed,,Construction,,,
4,14,directed,,Construction,,,
4,17,directed,,Construction,,,
5,1,directed,,Finance,,,
5,7,directed,,Finance,,,
5,22,directed,,Finance,,,
6,1,directed,,Services,,,
6,7,directed,,Services,,,
6,8,directed,,Services,,,
6,9,directed,,Services,,,
6,10,directed,,Services,,,
6,11,directed,,Services,,,
6,22,directed,,Services,,,
6,12,directed,,Services,,,
6,17,directed,,Services,,,
6,23,directed,,Services,,,
6,13,directed,,Services,,,
6,18,directed,,Services,,,
6,24,directed,,Services,,,
6,14,directed,,Services,,,
6,19,directed,,Services,,,
6,25,directed,,Services,,,
6,15,directed,,Services,,,
6,20,directed,,Services,,,
6,26,directed,,Services,,,
6,16,directed,,Services,,,
6,21,directed,,Services,,,
6,2,directed,,Services,,,
6,23,directed,,Services,,,
6,7,directed,,Services,,,
6,57,directed,,Development,Community Development,,
6,35,directed,,Development,Community Development,,
6,36,directed,,Development,Youth Devlopment,,
7,35,directed,,Development,Community Development,,
7,36,directed,,Development,Youth Devlopment,,
7,38,directed,,Development,Community Development,,
7,42,directed,,Development,Community Development,,
7,44,directed,,Services,Renewable Energy,,
7,66,directed,,Services,Renewable Energy,,
7,57,directed,,Development,Community Development,,
8,35,directed,,Development,Community Development,,
8,36,directed,,Development,Youth Development,,
8,38,directed,,Development,Community Development,,
8,44,directed,,Services,Renewable Energy,,
8,66,directed,,Services,Renewable Energy,,
8,55,directed,,Development,Community Development,,
8,57,directed,,Development,Community Development,,
9,35,directed,,Development,Community Development,,
9,36,directed,,Development,Youth Development,,
9,38,directed,,Development,Community Development,,
9,43,directed,,Development,Community Development,,
9,44,directed,,Services,Renewable Energy,,
9,66,directed,,Services,Renewable Energy,,
9,57,directed,,Development,Community Development,,
10,35,directed,,Development,Community Development,,
10,36,directed,,Development,Youth Development,,
10,38,directed,,Development,Community Development,,
10,44,directed,,Services,Renewable Energy,,
10,58,directed,,Development,Economic Development,,
10,59,directed,,Development,Economic Development,,
10,60,directed,,Development,Economic Development,,
10,61,directed,,Development,Economic Development,,
10,62,directed,,Development,Economic Development,,
10,66,directed,,Services,Renewable Energy,,
10,57,directed,,Development,Community Development,,
11,44,directed,,Services,Renewable Energy,,
11,35,directed,,Development,Community Development,,
11,36,directed,,Development,Youth Development,,
11,43,directed,,Development,Community Development,,
11,38,directed,,Development,Community Development,,
11,66,directed,,Services,Renewable Energy,,
11,57,directed,,Development,Community Development,,
12,44,directed,,Services,Renewable Energy,,
12,36,directed,,Development,Youth Development,,
12,35,directed,,Development,Community Development,,
12,38,directed,,Development,Community Development,,
12,66,directed,,Services,Renewable Energy,,
12,57,directed,,Development,Community Development,,
13,35,directed,,Development,Community Development,,
13,36,directed,,Development,Youth Development,,
13,38,directed,,Development,Community Development,,
13,44,directed,,Services,Renewable Energy,,
13,66,directed,,Services,Renewable Energy,,
13,57,directed,,Development,Community Development,,
14,44,directed,,Services,Renewable Energy,,
14,35,directed,,Development,Community Development,,
14,36,directed,,Development,Youth Devlopment,,
14,38,directed,,Development,Community Development,,
14,66,directed,,Services,Renewable Energy,,
14,57,directed,,Development,Community Development,,
15,44,directed,,Services,Renewable Energy,,
15,38,directed,,Development,Community Development,,
15,35,directed,,Development,Community Development,,
15,36,directed,,Development,Youth Devlopment,,
15,51,directed,,Development,Youth Development,,
15,55,directed ,,Development,Community Development,,
15,66,directed,,Services,Renewable Energy,,
15,57,directed,,Development,Community Development,,
16,44,directed,,Services,Renewable Energy,,
16,35,directed,,Development,Community Development,,
16,36,directed,,Development,Youth Development,,
16,38,directed,,Development,Community Development,,
16,43,directed,,Development,Community Development,,
16,55,directed,,Development,Community Development,,
16,66,directed,,Services,Renewable Energy,,
16,57,directed,,Development,Community Development,,
17,44,directed,,Services,Renewable Energy,,
17,35,directed,,Development,Community Development,,
17,38,directed,,Development,Community Development,,
17,44,directed,,Servies,Renewable Energy,,
17,36,directed,,Development,Youth Development,,
17,43,directed,,Development,Community Development,,
17,55,directed,,Development,Community Development,,
17,66,directed,,Services,Renewable Energy,,
17,57,directed,,Development,Community Development,,
18,44,directed,,Services,Renewable Energy,,
18,35,directed,,Development,Community Development,,
18,55,directed ,,Development,Community Development,,
18,38,directed,,Development,Community Development,,
18,36,directed ,,Development,Youth Development,,
18,44,directed,,Services,Renewable Energy,,
18,57,directed,,Development,Community Development,,
18,66,directed,,Services,Renewable Energy,,
19,44,directed ,,Services,Renewable Energy,,
19,38,directed,,Development,Community Development,,
19,35,directed,,Development,Community Development ,,
19,36,directed,,Development,Youth Development,,
19,55,directed,,Development,Community Development,,
19,57,directed,,Development,Community Development,,
19,66,directed,,Services,Renewable Energy,,
20,44,directed,,Services,Renewable Energy,,
20,55,directed,,Development,Community Development,,
20,57,directed,,Development,Community Development,,
20,36,directed,,Development,Youth Development,,
20,38,directed,,Development,Community Development,,
20,35,directed,,Development,Community Development ,,
20,44,directed,,Services,Renewable Energy,,
20,66,directed,,Services,Renewable Energy,,
21,44,directed,,Services,Renewable Energy,,
21,43,directed,,Development,Community Development ,,
21,55,directed,,Development,Community Development,,
21,35,directed,,Development,Community Development ,,
21,36,directed,,Development,Youth Development,,
21,38,directed,,Development,Community Development,,
21,66,directed,,Services,Renewable Energy,,
21,57,directed,,Development,Community Development,,
22,44,directed,,Services,Renewable Energy,,
22,35,directed,,Development,Community Development ,,
22,36,directed,,Development,Youth Development,,
22,38,directed,,Development,Community Development,,
22,66,directed,,Services,Renewable Energy,,
22,57,directed,,Development,Community Development,,
23,44,directed,,Services,Renewable Energy,,
23,55,directed,,Development,Community Development,,
23,35,directed,,Development,Community Development ,,
23,38,directed,,Development,Community Development,,
23,57,directed,,Development,Community Development,,
23,36,directed,,Development,Community Development,,
23,66,directed,,Services,Renewable Energy,,
24,44,directed,,Services,Renewable Energy,,
24,66,directed,,Services,Renewable Energy,,
24,44,directed,,Services,Renewable Energy,,
24,43,directed,,Development,Community Development,,
24,55,directed,,Development,Community Development,,
24,57,directed,,Development,Community Development,,
24,25,directed,,Development,Community Development,,
24,36,directed,,Development,Youth Development,,
24,38,directed,,Development,Community Development,,
25,44,directed,,Services,Renewable Energy,,
25,66,directed,,Services,Renewable Energy,,
25,38,directed,,Development,Community Development,,
25,57,directed,,Development,Community Development,,
25,35,directed,,Development,Community Development,,
25,36,directed,,Development,Youth Development,,
26,44,directed,,Servies,Renewable Energy,,
26,35,directed,,Development,Community Development,,
26,36,directed,,Development,Youth Development,,
26,38,directed,,Development,Community Development,,
26,66,directed,,Services,Renewable Energy,,
26,57,directed,,Development,Community Development,,
27,1,directed,,Services,,,
27,6,directed,,Services,,,
27,7,directed,,Services,,,
27,8,directed,,Services,,,
27,9,directed,,Services,,,
27,10,directed,,Services,,,
27,11,directed,,Services,,,
27,12,directed,,Services,,,
27,13,directed,,Services,,,
27,14,directed,,Services,,,
27,15,directed,,Services,,,
27,16,directed,,Services,,,
27,17,directed,,Services,,,
27,18,directed,,Services,,,
27,19,directed,,Services,,,
27,20,directed,,Services,,,
27,21,directed,,Services ,,,
27,22,directed,,Services,,,
27,23,directed,,Services,,,
27,24,directed,,Services,,,
27,25,directed,,Services,,,
27,26,directed,,Services,,,
28,1,directed,,Finance,,,
28,22,directed,,Finance,,,
29,1,directed,,Finance,,,
29,22,directed,,Finance,,,
30,1,directed,,National Alliance,,,
30,2,directed,,National Alliance,,,
30,3,directed,,National Alliance,,,
30,4,directed,,National Alliance,,,
30,5,directed,,National Alliance,,,
30,6,directed,,National Alliance,,,
30,7,directed,,National Alliance,,,
30,8,directed,,National Alliance,,,
30,9,directed,,National Alliance,,,
30,10,directed,,National Alliance,,,
30,13,directed,,National Alliance,,,
30,15,directed,,National Alliance,,,
30,16,directed,,National Alliance,,,
30,19,directed,,National Alliance,,,
30,20,directed,,National Alliance,,,
30,21,directed,,National Alliance,,,
30,23,directed,,National Alliance,,,
30,24,directed,,National Alliance,,,
30,25,directed,,National Alliance,,,
30,26,directed,,National Alliance,,,
30,11,directed,,National Alliance,,,
30,12,directed,,National Alliance,,,
30,14,directed,,National Alliance,,,
30,17,directed,,National Alliance,,,
30,18,directed,,National Alliance,,,
30,22,directed,,National Alliance,,,
31,1,directed,,Government,,,
32,1,directed,,Government,,,
32,14,directed,,Federal Support,,,
32,17,directed,,Federal Support,,,
33,1,directed,,Development,Economic Development,,
33,11,directed,,Development,Economic Development,,
33,19,directed,,Development,Economic Development,,
33,7,directed,,Development,Economic Development,,
33,8,directed,,Development,Economic Development,,
33,9,directed,,Development,Economic Development,,
33,10,directed,,Development,Economic Development,,
33,22,directed,,Development,Economic Development,,
33,12,directed,,Development,Economic Development,,
33,17,directed,,Development,Economic Development,,
33,23,directed,,Development,Economic Development,,
33,13,directed,,Development,Economic Development,,
33,18,directed,,Development,Economic Development,,
33,24,directed,,Development,Economic Development,,
33,14,directed,,Development,Economic Development,,
33,25,directed,,Development,Economic Development,,
33,15,directed,,Development,Economic Development,,
33,20,directed,,Development,Economic Development,,
33,26,directed,,Development,Economic Development,,
33,16,directed,,Development,Economic Development,,
33,21,directed,,Development,Economic Development,,
33,2,directed,,Development,Economic Development,,
33,23,directed,,Development,Economic Development,,
33,21,directed,,Development,Economic Development,,
33,24,directed,,Development,Economic Development,,
34,1,directed,,Government,,,
37,1,directed,,Press & Funding,,,
37,7,directed,,Press & Funding,,,
37,8,directed,,Press & Funding,,,
37,14,directed,,Press & Funding,,,
37,15,directed,,Press & Funding,,,
37,17,directed,,Press & Funding,,,
37,19,directed,,Press & Funding,,,
37,21,directed,,Press & Funding,,,
37,24,directed,,Press & Funding,,,
37,25,directed,,Press & Funding,,,
39,1,directed,,Services,,,
39,8,directed,,Services,,,
39,15,directed,,Services,,,
39,16,directed,,Services,,,
39,17,directed,,Services,,,
39,18,directed,,Services,,,
39,19,directed,,Services,,,
39,20,directed,,Services,,,
39,24,directed,,Services,,,
40,1,directed,,Finance,,,
40,7,directed,,Finance,,,
40,41,directed,,Finance,,,
41,1,directed,,Development,Community Development,,
41,7,directed,,Development,Community Development,,
45,14,directed,,Federal Support,,,
45,15,directed,,Materials,,,
45,17,directed,,Services,Renewable Energy,,
46,14,directed,,Development,Economic Development,,
46,24,directed,,Development,Economic Development,,
47,14,directed,,Government,,,
47,17,directed,,Development,Economic Development,,
47,17,directed,,Government,,,
47,21,directed,,Development,Economic Development,,
47,24,directed,,Development,Economic Development,,
48,14,directed,,Government,,,
48,17,directed,,Development,Economic Development,,
48,21,directed,,Development,Economic Development,,
48,24,directed,,Development,Economic Development,,
49,14,directed,,Services,,,
50,15,directed ,,Development,Community Development,,
52,14,directed,,Generator/Wholesale,,,
52,15,directed,,Services,,,
52,16,directed,,Generator/Wholesale,,,
52,17,directed,,Generator/Wholesale,,,
52,17,directed,,Generator/Wholesale,,,
52,44,directed,,Services,Renewable Energy,,
53,16,directed,,Press & Funding,,,
54,16,directed,,Press & Funding,,,
56,17,directed,,Development,Economic Development,,
63,21,directed,,Development,Economic Development,,
64,21,directed,,Development,Economic Development,,
65,23,directed,,Services,Renewable Energy,,
67,25,directed,,Services,internet,,
69,26,directed,,Development,Economic Development,,
71,26,directed,,Development,Economic Development,,
72,26,directed,,Development,Economic Development,,
73,26,directed,,Development,Economic Development,,
