"ID","FIPS","Label","Address","State","Zip","Category","Notes","address","formatted_address","lng","lat"
"1","","Central Electric Power Cooperative","20 Cooperative Way","SC","29210","G&T","","Central Electric Power Cooperative, SC, 20 Cooperative Way","20 Cooperative Way, Columbia, SC 29210, USA",-81.11528559999999,34.0425226
"2","","New Horizon Electric Cooperative","1776 Highway 14","SC","29360","Transmission","Five of Central's Members are also Members of New Horizon Electric Cooperative (NHEC). NHEC maintains a portion of Central's transmission lines. Central paid NHEC $1,590,760 and $2,138,796 in 2017 and 2016, respectively. In 2017, NHEC paid Central $48,000 for management services.","New Horizon Electric Cooperative, SC, 1776 Highway 14","1776 SC-14, Laurens, SC 29360, USA",-82.0510034,34.5309567
"3","","Alliance for Cooperatives Energy","","","","Management Service","In 2017 Central became a member of the Alliance for Cooperatives Energy Services Power Marketing, LLC (ACES). ACES is a nationwide energy management company. At the end of five years, Central can exit the organization and receive a refund equal to its pro rata share of ACES equity. Central is committed to purchase a minimum level of services from ACES starting at $195,000 annually and increasing 2% annually for a period of five years. Any services above these minimums will be paid at ACES actual cost. Central paid ACES $245,715 in 2017.","Alliance for Cooperatives Energy, , ",,,
"4","","Cooperative Electric Energy Utility Supply","101 Enterprise Parkway","SC","29171","Construction","Central is a member of the Cooperative Electric Energy Utility Supply, Inc. (CEE-US).CEE-US is organized to provide member cooperatives with the ability to purchase utility construction and repair materials and supplies on a combined basis. Central purchased $3,612,141 and $2,505,960 in CEE-US' fiscal years ending September 30, 2017 and 2016, respectively. Central's patronage capital in CEE-US represents approximately 2.5% of total CEE-US patronage capital.","Cooperative Electric Energy Utility Supply, SC, 101 Enterprise Parkway","101 Enterprise Pkwy, West Columbia, SC 29170, USA",-81.145242,33.957913
"5","","KW Savings Co.","","","","Finance","Central and its Members created KW Savings Co. (KWS) to facilitate on-billing financing of energy efficiency home improvements for Members. Central received a $740,000 Rural Economic Development Loan & Grant (REDLG) loan from the United States Department of Agriculture (USDA), which was loaned to KWS for low interest loans on energy efficiency projects for distribution member households. KWS returns this money to Central at approximately the same time the loans are repaid by the distribution members. As of December 31, 2017 and 2016, $339,167 and $431,667 was outstanding, respectively. In 2017 and 2016, Central provided KWS with $29,877 and $3,823, respectively, to cover program administrative costs. In 2017, KWS paid Central $5,000 for accounting services.","KW Savings Co., , ",,,
"6","","The Electric Cooperatives of South Carolina, Inc.","808 Knox Abbott Drive","SC","29033","State Alliance","","The Electric Cooperatives of South Carolina, Inc., SC, 808 Knox Abbott Drive","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.06243479999999,33.9825755
"7","","Aiken Electric Cooperative","2790 Wagener Road","SC","29802","Distribution","","Aiken Electric Cooperative, SC, 2790 Wagener Road","2790 Wagener Rd, Aiken, SC 29801, USA",-81.654842,33.548752
"8","","Berkeley Electric Cooperative","414 Highway 52 North","SC","29461","Distribution","","Berkeley Electric Cooperative, SC, 414 Highway 52 North","North, 7200 Hwy 17, Awendaw, SC 29429, United States",-79.62837209999999,33.028304
"9","","Black River Electric Cooperative","1121 North Pike Road, West","SC","29151","Distribution","","Black River Electric Cooperative, SC, 1121 North Pike Road, West","1121 N Pike W, Sumter, SC 29153, USA",-80.374324,33.957741
"10","","Blue Ridge Electric Cooperative","734 West Main Street","SC","29671","Distribution","","Blue Ridge Electric Cooperative, SC, 734 West Main Street","734 W Main St, Pickens, SC 29671, USA",-82.7190509,34.881529
"11","","Broad River Electric Cooperative","811 Hamrick Street","SC","29342","Distribution","","Broad River Electric Cooperative, SC, 811 Hamrick Street","811 Hamrick Street, Gaffney, SC 29340, USA",-81.6869011,35.0509872
"12","","Edisto Electric Cooperative","896 Calhoun Street","SC","29003","Distribution","","Edisto Electric Cooperative, SC, 896 Calhoun Street","896 Calhoun St, Bamberg, SC 29003, USA",-81.04281499999999,33.285526
"13","","Laurens Electric Cooperative","2254 Highway 14","SC","29360","Distribution","","Laurens Electric Cooperative, SC, 2254 Highway 14","2254 SC-14, Laurens, SC 29360, USA",-82.0562315,34.5356313
"14","","Marlboro Electric Cooperative","254 Highway 15-401 Bypass East","SC","29512","Distribution","","Marlboro Electric Cooperative, SC, 254 Highway 15-401 Bypass East","676 SC-9, Bennettsville, SC 29512, USA",-79.6416642,34.5963403
"15","","Palmetto Electric Cooperative","4036 Grays Highway","SC","29936","Distribution","","Palmetto Electric Cooperative, SC, 4036 Grays Highway","4360, 4063 Grays Hwy, Ridgeland, SC 29936, United States",-81.0102239,32.5269182
"16","","Tri-County Electric Cooperative","6473 Old State Road","SC","29135","Distribution","","Tri-County Electric Cooperative, SC, 6473 Old State Road","6473 Old State Rd, St Matthews, SC 29135, USA",-80.7746692,33.6307995
"17","","Fairfield Electric Cooperative","701 Blythewood Road","SC","29016","Distribution","","Fairfield Electric Cooperative, SC, 701 Blythewood Road","701 Blythewood Rd, Blythewood, SC 29016, USA",-81.0019557,34.2094166
"18","","Little River Electric Cooperative","300 Cambridge Street","SC","29620","Distribution","","Little River Electric Cooperative, SC, 300 Cambridge Street","300 Cambridge St, Abbeville, SC 29620, USA",-82.37335589999999,34.1831263
"19","","Mid-Carolina Electric Cooperative","254 Longs Pond Road","SC","29071","Distribution","","Mid-Carolina Electric Cooperative, SC, 254 Longs Pond Road","254 Longs Pond Rd, Lexington, SC 29072, USA",-81.2924438,33.9300491
"20","","Pee Dee Electric Cooperative","1355 East McIver Road","SC","29540","Distribution","","Pee Dee Electric Cooperative, SC, 1355 East McIver Road","1355 E McIver Rd, Darlington, SC 29532, USA",-79.7897468,34.2568255
"21","","York Electric Cooperative","1385 East Alexander Love Highway","SC","29745","Distribution","","York Electric Cooperative, SC, 1385 East Alexander Love Highway","1385 Alexander Love Hwy, York, SC 29745, USA",-81.2058071,34.9888504
"22","","Coastal Electric Cooperative","2269 Jefferies Highway","SC","29488","Distribution","","Coastal Electric Cooperative, SC, 2269 Jefferies Highway","2269 Jefferies Hwy, Walterboro, SC 29488, USA",-80.6607976,32.9332399
"23","","Horry Electric Cooperative","2774 Cultra Road","SC","29528","Distribution","","Horry Electric Cooperative, SC, 2774 Cultra Road","2774 Cultra Rd, Conway, SC 29526, USA",-79.0796323,33.8725427
"24","","Lynches River Electric Cooperative","707 South Arant Street","SC","29728","Distribution","","Lynches River Electric Cooperative, SC, 707 South Arant Street","707 S Arant St, Pageland, SC 29728, USA",-80.40200449999999,34.7602201
"25","","Newberry Electric Cooperative","882 Wilson Road","SC","29108","Distribution","","Newberry Electric Cooperative, SC, 882 Wilson Road","882 Wilson Rd, Newberry, SC 29108, USA",-81.591978,34.2784393
"26","","Santee Electric Cooperative","424 Sumter Highway","SC","29556","Distribution","","Santee Electric Cooperative, SC, 424 Sumter Highway","424 Sumter Hwy, Kingstree, SC 29556, USA",-79.85277409999999,33.6885138
"27","","Touchstone Energy","4301 Wilson Blvd","VA","22203","National Alliance","","Touchstone Energy, VA, 4301 Wilson Blvd","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.11298699999999,38.880529
"28","","National Rural Utilities Cooperative Finance Corporation","20701 Cooperative Way","VA","20166","Finance","Created and owned by America's electric coop network","National Rural Utilities Cooperative Finance Corporation, VA, 20701 Cooperative Way","20701 Cooperative Way, Sterling, VA 20166, USA",-77.4267655,39.0415808
"29","","Federated Rural Electric Insurance Exchange","P.O. Box 15147","KS","66285","Finance","","Federated Rural Electric Insurance Exchange, KS, P.O. Box 15147","7725 Renner Rd, Shawnee, KS 66217, USA",-94.7790594,38.9876327
"30","","National Rural Electric Cooperative Association","4301 Wilson Blvd.","VA","22203","National Alliance","","National Rural Electric Cooperative Association, VA, 4301 Wilson Blvd.","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.1129086,38.8805334
"31","","Office of Regulatory Staff","1401 Main Street","SC","29201","State Government","","Office of Regulatory Staff, SC, 1401 Main Street","1401 Main St #900, Columbia, SC 29201, USA",-81.0352106,34.0040058
"32","","Rural Utilities Service (RUS)","1400 Independence Avenue, SW","DC","20250","Federal Support","","Rural Utilities Service (RUS), DC, 1400 Independence Avenue, SW","1400 Independence Ave SW, Washington, DC 20228, USA",-77.02996329999999,38.8867671
"33","","South Carolina Power Team","1201 Main Street, Suite 1710","SC","29201","Economic Development","","South Carolina Power Team, SC, 1201 Main Street, Suite 1710","1201 Main St #250, Columbia, SC 29201, USA",-81.0348008,34.0012126
"34","","South Carolina Public Service Commission","101 Executive Center Drive","SC","29210","State Government","","South Carolina Public Service Commission, SC, 101 Executive Center Drive","101 Executive Center Dr # 100, Columbia, SC 29210, USA",-81.1214719,34.0331507
